Subgrid,V1,V2,V3,V4,Species
N23W29 _1421,1,1,1,NA,SP1
N23W29 _1464,0,NA,NA,0,SP1
N23W29 _1465,1,0,0,1,SP1
N23W29 _1466,0,0,0,0,SP1
N23W29 _1467,0,0,0,1,SP1
N23W30 _1247,1,NA,NA,0,SP1
N23W30 _1248,1,NA,NA,NA,SP1
N23W30 _1460,1,NA,NA,NA,SP1
N23W31 _1241,1,NA,NA,NA,SP1
N23W31 _1242,1,NA,NA,NA,SP1
N23W31 _1246,1,NA,NA,NA,SP1
N23W31 _1283,1,NA,NA,NA,SP1
N23W31 _1284,1,NA,NA,NA,SP1
N23W31 _1324,0,NA,NA,NA,SP1
N23W31 _1325,1,NA,NA,NA,SP1
N23W31 _1326,1,NA,NA,NA,SP1
N23W31 _1364,0,NA,0,NA,SP1
N23W31 _1365,0,NA,NA,NA,SP1
N23W31 _1366,1,NA,NA,NA,SP1
N23W31 _1405,0,NA,1,NA,SP1
N23W31 _1451,1,NA,NA,NA,SP1
N23W32 _1235,0,NA,NA,NA,SP1
N23W32 _1238,0,NA,NA,NA,SP1
N23W32 _1276,0,NA,0,NA,SP1
N23W32 _1277,0,NA,NA,NA,SP1
N23W32 _1278,1,NA,NA,NA,SP1
N23W32 _1279,0,NA,NA,NA,SP1
N23W32 _1317,0,NA,NA,NA,SP1
N23W32 _1318,1,1,NA,NA,SP1
N23W32 _1319,0,NA,NA,NA,SP1
N23W32 _1320,1,NA,NA,NA,SP1
N23W32 _1357,0,NA,0,NA,SP1
N23W32 _1358,0,1,0,0,SP1
N23W32 _1359,0,1,0,0,SP1
N23W32 _1360,0,0,NA,NA,SP1
N23W32 _1361,0,NA,1,NA,SP1
N23W32 _1362,0,NA,1,NA,SP1
N23W32 _1363,0,NA,1,NA,SP1
N23W32 _1398,0,NA,NA,0,SP1
N23W32 _1399,1,NA,NA,0,SP1
N23W32 _1400,0,0,1,1,SP1
N23W32 _1401,0,NA,0,0,SP1
N23W32 _1402,0,NA,NA,NA,SP1
N23W32 _1404,1,NA,NA,NA,SP1
N23W32 _1444,0,NA,NA,1,SP1
N23W32 _1445,1,NA,NA,NA,SP1
N23W32 _1447,0,NA,NA,1,SP1
N23W32 _1448,0,NA,NA,0,SP1
N23W32 _1449,1,NA,0,NA,SP1
N24W26 _1527,0,NA,0,0,SP1
N24W26 _1528,0,NA,1,NA,SP1
N24W26 _1573,0,0,NA,NA,SP1
N24W26 _1574,0,0,NA,0,SP1
N24W26 _1619,1,NA,0,0,SP1
N24W26 _1620,0,NA,0,1,SP1
N24W26 _1664,0,0,0,0,SP1
N24W26 _1665,1,NA,0,0,SP1
N24W26 _1727,0,0,0,0,SP1
N24W26 _1728,0,0,0,0,SP1
N24W26 _1790,0,0,0,0,SP1
N24W27 _1660,0,NA,NA,NA,SP1
N24W27 _1723,0,NA,NA,NA,SP1
N24W27 _1786,0,NA,NA,NA,SP1
N24W27 _1788,0,NA,NA,NA,SP1
N24W27 _1789,0,NA,NA,NA,SP1
N24W28 _1516,0,NA,NA,NA,SP1
N24W28 _1517,0,NA,NA,NA,SP1
N24W28 _1518,0,NA,NA,NA,SP1
N24W28 _1560,0,0,NA,NA,SP1
N24W28 _1561,0,0,NA,NA,SP1
N24W28 _1564,0,NA,NA,NA,SP1
N24W28 _1606,0,0,NA,NA,SP1
N24W28 _1607,0,0,NA,NA,SP1
N24W28 _1610,0,NA,NA,NA,SP1
N24W28 _1652,0,0,NA,NA,SP1
N24W28 _1653,0,NA,NA,NA,SP1
N24W28 _1656,0,NA,NA,NA,SP1
N24W28 _1716,0,NA,NA,NA,SP1
N24W28 _1717,0,NA,NA,NA,SP1
N24W28 _1718,0,NA,NA,NA,SP1
N24W28 _1719,0,NA,NA,NA,SP1
N24W28 _1778,1,NA,NA,NA,SP1
N24W28 _1780,0,NA,NA,NA,SP1
N24W28 _1781,0,NA,NA,NA,SP1
N24W29 _1507,1,1,NA,NA,SP1
N24W29 _1508,0,0,1,NA,SP1
N24W29 _1509,1,0,1,NA,SP1
N24W29 _1510,1,1,NA,1,SP1
N24W29 _1511,1,0,NA,1,SP1
N24W29 _1512,0,0,NA,NA,SP1
N24W29 _1556,1,1,NA,1,SP1
N24W29 _1557,1,NA,NA,NA,SP1
N24W29 _1602,0,0,NA,1,SP1
N24W29 _1603,1,0,1,NA,SP1
N24W29 _1604,0,NA,NA,NA,SP1
