Subgrid_ID,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,Species
N18W27 _161,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N18W27 _177,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N18W27 _178,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N18W27 _179,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N18W27 _180,0,0,0,0,0,0,0,0,0,0,0,NA,SP1
N18W27 _195,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N18W27 _196,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N18W27 _198,0,0,0,0,0,0,0,0,0,0,NA,NA,SP1
N18W27 _199,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N18W27 _215,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N18W27 _216,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,SP1
N18W27 _217,0,0,0,0,0,0,0,0,0,NA,NA,NA,SP1
N18W27 _218,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N18W27 _235,0,0,0,0,0,0,0,0,0,0,NA,NA,SP1
N18W27 _236,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N19W26 _283,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N19W26 _284,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N19W26 _306,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N19W26 _307,0,0,0,0,0,0,0,0,0,0,0,0,SP1
N19W26 _308,0,0,0,0,0,0,0,0,0,NA,NA,NA,SP1
N19W26 _309,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N19W26 _331,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N19W26 _332,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N19W26 _333,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N19W26 _334,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N19W26 _354,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,SP1
